time	V(pb_3v3)	V(reset_logic)	V(stm32_3v3)	I(R16)
1.169610503284872e-01	2.995207e+00	2.974387e+00	7.795457e-06	2.301703e-01
1.172323932518019e-01	2.990813e+00	2.970023e+00	7.776047e-06	2.300698e-01
1.177750790984312e-01	2.982092e+00	2.961362e+00	7.736665e-06	2.298998e-01
1.187516415984312e-01	2.966632e+00	2.946010e+00	7.664441e-06	2.296733e-01
1.197282040984312e-01	2.951486e+00	2.930970e+00	7.590672e-06	2.295446e-01
1.207047665984312e-01	2.936669e+00	2.916255e+00	7.515366e-06	2.295237e-01
1.216813290984312e-01	2.922193e+00	2.901880e+00	7.438758e-06	2.296081e-01
1.226578915984312e-01	2.908073e+00	2.887858e+00	7.361086e-06	2.297950e-01
1.236344540984312e-01	2.894322e+00	2.874202e+00	7.282587e-06	2.300816e-01
1.246110165984312e-01	2.880952e+00	2.860926e+00	7.203496e-06	2.304648e-01
1.255875790984312e-01	2.867977e+00	2.848041e+00	7.124042e-06	2.309419e-01
1.265641415984312e-01	2.855408e+00	2.835560e+00	7.044450e-06	2.315097e-01
1.275407040984312e-01	2.843259e+00	2.823494e+00	6.964939e-06	2.321650e-01
1.285172665984312e-01	2.831538e+00	2.811855e+00	6.885719e-06	2.329049e-01
1.294938290984312e-01	2.820259e+00	2.800654e+00	6.806994e-06	2.337261e-01
1.304703915984312e-01	2.809431e+00	2.789902e+00	6.728957e-06	2.346254e-01
1.314469540984312e-01	2.799065e+00	2.779608e+00	6.651793e-06	2.355997e-01
1.324235165984312e-01	2.789171e+00	2.769782e+00	6.575676e-06	2.366456e-01
1.334000790984312e-01	2.779757e+00	2.760434e+00	6.500768e-06	2.377599e-01
1.343766415984312e-01	2.770833e+00	2.751572e+00	6.427224e-06	2.389394e-01
1.353532040984312e-01	2.762407e+00	2.743204e+00	6.355186e-06	2.401808e-01
1.373063290984312e-01	2.747080e+00	2.727984e+00	6.216147e-06	2.428365e-01
1.382828915984312e-01	2.740193e+00	2.721145e+00	6.149310e-06	2.442425e-01
1.391234375000000e-01	2.734688e+00	2.715678e+00	6.093020e-06	2.454846e-01
1.394234375000000e-01	2.732818e+00	2.713821e+00	6.073416e-06	2.459393e-01
1.397000000000000e-01	2.731139e+00	2.712154e+00	6.055517e-06	2.463623e-01
1.398000000000000e-01	2.730542e+00	2.711561e+00	6.049082e-06	2.465161e-01
1.400000000000000e-01	2.729366e+00	2.710393e+00	6.036298e-06	2.468253e-01
1.401000000000000e-01	2.728786e+00	2.709818e+00	6.029946e-06	2.469805e-01
1.401100000000000e-01	2.728729e+00	2.709760e+00	6.029304e-06	2.469961e-01
1.401300000000000e-01	2.728614e+00	2.709646e+00	6.028031e-06	2.470272e-01
1.401441983561938e-01	2.728532e+00	2.709565e+00	6.027131e-06	2.470493e-01
1.401507803099398e-01	2.728494e+00	2.709527e+00	6.026714e-06	2.470596e-01
1.401571580192447e-01	2.728458e+00	2.709491e+00	6.026310e-06	2.470695e-01
1.401795743871318e-01	2.728329e+00	2.709364e+00	6.024891e-06	2.471045e-01
1.402000000000000e-01	2.728212e+00	2.709248e+00	6.023598e-06	2.471363e-01
1.402020425612868e-01	2.728201e+00	2.709236e+00	6.023469e-06	2.471395e-01
1.402061276838605e-01	2.728177e+00	2.709213e+00	6.023211e-06	2.471459e-01
1.402633193998914e-01	2.727852e+00	2.708889e+00	6.019600e-06	2.472352e-01
1.403286813610695e-01	2.727482e+00	2.708522e+00	6.015483e-06	2.473375e-01
1.404594052834259e-01	2.726750e+00	2.707795e+00	6.007288e-06	2.475428e-01
1.407208531281385e-01	2.725314e+00	2.706369e+00	5.991044e-06	2.479562e-01
1.412437488175639e-01	2.722559e+00	2.703633e+00	5.959129e-06	2.487933e-01
