time	V(pb_3v3)	V(reset_logic)	V(stm32_3v3)	I(R16)
8.462095331742565e-02	3.578741e+00	1.789370e-06	5.666167e-06	4.520658e-01
8.462922464725610e-02	3.578603e+00	1.789301e-06	5.665922e-06	4.520545e-01
8.464576730691700e-02	3.578327e+00	1.789162e-06	5.665317e-06	4.520319e-01
8.467885262623881e-02	3.577774e+00	1.788886e-06	5.664139e-06	4.519866e-01
8.471166491024587e-02	3.577226e+00	1.788612e-06	5.662967e-06	4.519415e-01
8.475747847601661e-02	3.576459e+00	1.788229e-06	5.661333e-06	4.518783e-01
8.480624866494378e-02	3.575643e+00	1.787821e-06	5.659595e-06	4.518107e-01
8.488117417311150e-02	3.574388e+00	1.787193e-06	5.656929e-06	4.517064e-01
8.513860288335598e-02	3.570064e+00	1.785031e-06	5.647800e-06	4.513418e-01
8.540635008799641e-02	3.565548e+00	1.782773e-06	5.638365e-06	4.509524e-01
8.594184449727725e-02	3.556459e+00	1.778229e-06	5.619676e-06	4.501426e-01
8.691840699727725e-02	3.539700e+00	1.769849e-06	5.586066e-06	4.485871e-01
8.789496949727725e-02	3.522714e+00	1.761356e-06	5.553057e-06	4.469342e-01
8.887153199727725e-02	3.505519e+00	1.752759e-06	5.520727e-06	4.451748e-01
8.981423418540642e-02	3.488737e+00	1.744368e-06	5.490183e-06	4.433764e-01
9.079079668540642e-02	3.471178e+00	1.735588e-06	5.459242e-06	4.414127e-01
9.176735918540642e-02	3.453457e+00	1.726728e-06	5.429011e-06	4.393512e-01
9.274392168540642e-02	3.435592e+00	1.717795e-06	5.399508e-06	4.371942e-01
9.372048418540642e-02	3.417600e+00	1.708799e-06	5.370744e-06	4.349450e-01
9.469704668540642e-02	3.399497e+00	1.699747e-06	5.342730e-06	4.326068e-01
9.567360918540642e-02	3.381300e+00	1.690649e-06	5.315479e-06	4.301830e-01
9.665017168540642e-02	3.363026e+00	1.681512e-06	5.289004e-06	4.276772e-01
9.762673418540642e-02	3.344694e+00	1.672346e-06	5.263318e-06	4.250926e-01
9.902343750000001e-02	3.318405e+00	1.659202e-06	5.227785e-06	4.212831e-01
9.945487651674870e-02	3.310275e+00	1.655137e-06	5.217192e-06	4.200725e-01
9.994245235418328e-02	3.301085e+00	1.650542e-06	5.205432e-06	4.186872e-01
1.000000000000000e-01	3.300000e+00	1.649999e-06	5.204035e-06	4.185226e-01
1.000057547645817e-01	3.299891e+00	1.649945e-06	5.203911e-06	4.185061e-01
1.000172642937450e-01	3.299675e+00	1.649836e-06	5.203645e-06	4.184732e-01
1.000402833520717e-01	3.299241e+00	1.649620e-06	5.203096e-06	4.184072e-01
1.000539618833466e-01	3.298983e+00	1.649491e-06	5.202770e-06	4.183680e-01
1.000726429374502e-01	3.298631e+00	1.649315e-06	5.202326e-06	4.183145e-01
1.001000000000000e-01	3.298115e+00	1.649057e-06	5.201676e-06	4.182360e-01
1.001191499437849e-01	3.297754e+00	1.648876e-06	5.201220e-06	4.181811e-01
1.004015087052591e-01	3.292431e+00	1.646215e-06	5.194561e-06	4.173665e-01
1.006838674667332e-01	3.287109e+00	1.643554e-06	5.187969e-06	4.165470e-01
1.009662262282074e-01	3.281789e+00	1.640894e-06	5.181443e-06	4.157228e-01
1.012485849896815e-01	3.276471e+00	1.638235e-06	5.174984e-06	4.148937e-01
1.015309437511557e-01	3.271154e+00	1.635576e-06	5.168591e-06	4.140598e-01
1.018133025126299e-01	3.265839e+00	1.632919e-06	5.162265e-06	4.132211e-01
1.020956612741040e-01	3.260526e+00	1.630262e-06	5.156005e-06	4.123775e-01
1.020961381112623e-01	3.260517e+00	1.630258e-06	5.155995e-06	4.123761e-01
1.020970917855787e-01	3.260499e+00	3.237834e+00	5.155974e-06	4.123732e-01
